n	sacrebleu	pairwise	aggregate
1	0.0004901159554719925	0.0002698567695915699	0.00033530499786138535
2	0.001773633062839508	0.0005074208602309227	0.0007223342545330524
4	0.00656063063070178	0.0012847771868109703	0.001041090115904808
8	0.023276980035007	0.002884102053940296	0.0020990311168134212
16	0.09517530398443341	0.008916489314287901	0.003782670944929123
32	0.38258437579497695	0.03032857133075595	0.006602075882256031
64	1.4972943319007754	0.10698586609214544	0.011393080931156874
128	6.062979348935187	0.4098642668686807	0.0204395679756999
256	24.072800552938133	1.6916400091722608	0.04017489589750767
512	96.21699102688581	7.465055520180613	0.07594375219196081
1024	383.9652170939371	32.26238680910319	0.14477947494015098